"srcLang","srcString","srcWords","srcPron","EN.words","EN.pron","DE.words","DE.pron","FR.words","FR.pron","JA.words","JA.pron","ZH.words","ZH.pron","srcGloss","EN.gloss","DE.gloss","FR.gloss","JA.gloss","ZH.gloss"
"JA","冠位十二階","冠位十二階:冠位十二階","/kaɴ.i.d͡ʑu.u.ni.ka.i/","cow e zoo ooh knee key e","/kaʊ/ /i/ /zu/ /u/ /ni/ /ki/ /i/","Kahn in Schuh Schuh nie Kuh in","/kaːn/ /iːn/ /ʃuː/ /ʃuː/ /niː/ /kuː/ /iːn/","canne hibou houx nid quand riz","/kan/ /i.ˈbu/ /u/ /ni/ /ka/ /ʁi/","巻 胃 従 兎 ニ 蚊 胃","/kaɴ/ /i/ /d͡ʑu/ /u/ /ni/ /ka/ /i/","缸 椅 土 鵡 蜺 卡 椅","/kaŋ˥˥/ /i˨˩˦/ /tu˨˩˦/ /u˨˩˦/ /ni˧˥/ /ka˨˩˦/ /i˨˩˦/","Characteristics 十二 floor","cow e zoo ooh knee key e","Kahn in shoe shoe never cow in","cane OWL Holly nest when rice","Volume stomach with rabbit (d) mosquitoes stomach","鵡 cicada cylinder Chair chairs"
"JA","貞女","貞女:貞女","/te.i.d͡ʑo/","tea e zoo","/ti/ /i/ /zu/","Teer wo","/teː.ɐ/ /voː/","thé riz don","/te/ /ʁi/ /do/","手 胃 女","/te/ /i/ /d͡ʑo/","梯 椅 菠","/ti˥˥/ /i˨˩˦/ /po˥˥/","Chaste women","tea e zoo","Tar where","the rice donation","Hand stomach woman","Ladder Chair keep"
"JA","ネットワークインターフェースカード","ネットワークインターフェースカード:ネットワークインターフェースカード","/net.to.waː.ku.in.taː.ɸu.eː.su.kaː.do/","nut toe wee coo e'en tea shoe awe sue key dew","/nʌt/ /toʊ/ /wi/ /ku/ /in/ /ti/ /ʃu/ /ɔ/ /su/ /ki/ /du/","näht Tod ja Kuh in Tag Schuh Reh Schuh Kader","/neːt/ /toːt/ /jaː/ /kuː/ /iːn/ /taːk/ /ʃuː/ /ʀeː/ /ʃuː/ /kaː.dɐ/","note ton oie cou hymne temps chou et sous quand don","/nɔt/ /to/ /wa/ /ku/ /imn/ /ta/ /ʃu/ /e/ /su/ /ka/ /do/","ネット わ 区 インター 府 絵 酢 カー 土","/net.to/ /wa/ /ku/ /in.taː/ /ɸu/ /e/ /su/ /kaː/ /do/","囡 骰 媽 鼓 茵 獺 拊 椅 酥 卡 噢","/nan˥˥/ /tou˧˥/ /ma˥˥/ /ku˨˩˦/ /in˥˥/ /ta˨˩˦/ /fu˨˩˦/ /i˨˩˦/ /su˥˥/ /ka˨˩˦/ /o˥˥/","Network interface card","nut toe wee coo e'en tea shoe awe sue key dew","Death ROE shoe sewing Yes cow day shoe squad","Note your goose neck anthem time cabbage and when don","NET I-Internet Office painting vinegar car sat","DOI 獺 Chair, fondle the child will SIC 媽 drum cakes Oh"
"JA","電話料金","電話料金:電話料金","/deɴ.wa.ɾjo.u.kiɴ/","day wee tree ooh key","/deɪ/ /wi/ /tɹi/ /u/ /ki/","der ja floh Schuh Kies","/deːɐ/ /jaː/ /floː/ /ʃuː/ /kiːs/","des oie lion houx qui","/de/ /wa/ /ljo/ /u/ /ki/","電話 旅 兎 筋","/deɴ.wa/ /ɾjo/ /u/ /kiɴ/","悲 媽 菠 鵡 缸","/pei˥˥/ /ma˥˥/ /po˥˥/ /u˨˩˦/ /kaŋ˥˥/","Telephone charges","day wee tree ooh key","Gravel Yes fled shoe","the lion Holly goose which","Phone trip rabbit muscle","Sad 媽 keep 鵡 cylinder"
"JA","衆院議員","衆院議員:衆院議員","/ʃu.u.iɴ.ɡi.iɴ/","shoe ooh eve gi eve","/ʃu/ /u/ /iv/ /ɡi/ /iv/","Schuh Schuh in Gin in","/ʃuː/ /ʃuː/ /iːn/ /ɡiːn/ /iːn/","chou houx if gui if","/ʃu/ /u/ /if/ /ɡi/ /if/","週 韻 偽 韻","/ʃu.u/ /iɴ/ /ɡi/ /iɴ/","狐 鵡 鸚 梯 鸚","/xu˧˥/ /u˨˩˦/ /iŋ˥˥/ /ti˥˥/ /iŋ˥˥/","House of representatives Member","shoe ooh eve gi eve","Shoe shoe in gin in","cabbage Holly if gui if","Week rhymes false rhyme","Fox 鵡 鸚 ladder 鸚"
"JA","茨だらけ","茨だらけ:茨だらけ","/i.ba.ɾa.da.ɾa.ke/","e bee tea dah tea key","/i/ /bi/ /ti/ /dɑ/ /ti/ /ki/","in Bank da da da Kuh","/iːn/ /baŋ/ /daː/ /daː/ /daː/ /kuː/","if bas temps dent as temps quand","/if/ /ba/ /ta/ /d/ /a/ /ta/ /ka/","胃 バラ だ ラ 毛","/i/ /ba.ɾa/ /da/ /ɾa/ /ke/","椅 芭 獺 獺 獺 閣","/i˨˩˦/ /pa˥˥/ /ta˨˩˦/ /ta˨˩˦/ /ta˨˩˦/ /kɤ˧˥/","Full of thorns","e bee tea dah tea key","Bank da da da cow","If low time tooth as time when","Stomach Rose La hair","Chairs BAA 獺 獺 獺 閣"
"JA","北郊","北郊:北郊","/hok.ko.u/","hawk key ooh","/hɔk/ /ki/ /u/","Heck Kuh Schuh","/hɛk/ /kuː/ /ʃuː/","conque con houx","/kok/ /ko/ /u/","本 戸 兎","/hoɴ/ /ko/ /u/","猴 鼓 鵡","/xou˧˥/ /ku˨˩˦/ /u˨˩˦/","Northern suburbs","hawk key ooh","Heck cow shoe","conch con Holly","This House Rabbit","Monkey drum 鵡"
"JA","内奏","内奏:内奏","/na.i.so.u/","knee e sea ooh","/ni/ /i/ /si/ /u/","nah in wo Schuh","/naː/ /iːn/ /voː/ /ʃuː/","nid riz seau houx","/ni/ /ʁi/ /so/ /u/","七 胃 ソ 兎","/na/ /i/ /so/ /u/","拿 椅 蒐 鵡","/na˧˥/ /i˨˩˦/ /sou˥˥/ /u˨˩˦/","内奏","knee e sea ooh","near where shoe","nest rice bucket Holly","7 SEO rabbit stomach","Chairs collected 鵡"
"JA","纏まる","纏まる:纏まる","/ma.to.ma.ɾu/","ma toe ma shoe","/mɑ/ /toʊ/ /mɑ/ /ʃu/","Matte Mann Kuh","/ma.tə/ /man/ /kuː/","mât ton mât cou","/ma/ /to/ /ma/ /ku/","ま と ま ルー","/ma/ /to/ /ma/ /ɾuː/","媽 土 媽 土","/ma˥˥/ /tu˨˩˦/ /ma˥˥/ /tu˨˩˦/","Better efficiency","ma toe ma shoe","Dull man cow","your neck mast mast","Customers include Lou","媽 媽 soil"
"JA","叙事詩","叙事詩:叙事詩","/d͡ʑo.d͡ʑi.ʃi/","zoo bee she","/zu/ /bi/ /ʃi/","wo Vieh Schuh","/voː/ /fiː/ /ʃuː/","don riz chien","/do/ /ʁi/ /ʃi/","女 柱 死","/d͡ʑo/ /d͡ʑi/ /ʃi/","菠 梯 膝","/po˥˥/ /ti˥˥/ /ɕi˥˥/","EPIC","zoo bee she","where livestock shoe","Don dog rice","Her column death","Keep ladders knee"
"JA","プレーオフ","プレーオフ:プレーオフ","/pu.ɾeː.o.ɸu/","poo tea awe shoe","/pu/ /ti/ /ɔ/ /ʃu/","Putz Deo Schuh","/puːt͡s/ /deː.oː/ /ʃuː/","pou fée eau chou","/pu/ /fe/ /o/ /ʃu/","プレー を 府","/pu.ɾeː/ /o/ /ɸu/","蹼 梯 噢 酥","/pu˨˩˦/ /ti˥˥/ /o˥˥/ /su˥˥/","Playoffs","poo tea awe shoe","Plaster Deo shoe","Pou fairy cabbage water","Play Office.","Webbed staircase Oh Jesus"
"JA","立泳ぎ","立泳ぎ:立泳ぎ","/ta.t͡ɕi.o.jo.ɡi/","tea sea awe zoo gi","/ti/ /si/ /ɔ/ /zu/ /ɡi/","Tag Biologie","/taːk/ /biː.oː.loː.ɡiː/","temps chien eau lion gui","/ta/ /ʃi/ /o/ /ljo/ /ɡi/","田 乳 を 夜 偽","/ta/ /t͡ɕi/ /o/ /jo/ /ɡi/","獺 梯 噢 膜 梯","/ta˨˩˦/ /ti˥˥/ /o˥˥/ /mo˧˥/ /ti˥˥/","Treading water","tea sea awe zoo gi","Tag biology","time dog water lion gui","Rice milk at night fake","Oh film 獺 ladder ladder"
"JA","電話対話","電話対話:電話対話","/deɴ.wa.ta.i.wa/","day wee tea e wee","/deɪ/ /wi/ /ti/ /i/ /wi/","der ja Tag in ja","/deːɐ/ /jaː/ /taːk/ /iːn/ /jaː/","des oie temps riz oie","/de/ /wa/ /ta/ /ʁi/ /wa/","電話 田 胃 わ","/deɴ.wa/ /ta/ /i/ /wa/","悲 媽 獺 椅 媽","/pei˥˥/ /ma˥˥/ /ta˨˩˦/ /i˨˩˦/ /ma˥˥/","Phone conversation","day wee tea e wee","the Yes day in Yes","the OIE time rice oie","Phone field, stomach.","Sad 媽 獺 Chair 媽"
"JA","はん用体","はん用体:はん用体","/haɴ.jo.u.ta.i/","high zoo ooh tea e","/haɪ/ /zu/ /u/ /ti/ /i/","Hang ja Schuh Tag in","/haŋ/ /jaː/ /ʃuː/ /taːk/ /iːn/","rame lion houx temps riz","/ʁam/ /ljo/ /u/ /ta/ /ʁi/","版 夜 兎 田 胃","/haɴ/ /jo/ /u/ /ta/ /i/","航 膜 鵡 獺 椅","/xaŋ˧˥/ /mo˧˥/ /u˨˩˦/ /ta˨˩˦/ /i˨˩˦/","General body","high zoo ooh tea e","Hang Yes shoe day in","Rame lion Holly time rice","Rabbit Tanaka stomach night Edition","Aerial film 鵡 獺 Chair"
"JA","残塁","残塁:残塁","/zaɴ.ɾu.i/","xi shoe e","/zaɪ/ /ʃu/ /i/","Sack Kuh in","/zak/ /kuː/ /iːn/","shah cou eau","/za/ /ku/ /o/","残 類","/zaɴ/ /ɾu.i/","方 土 椅","/faŋ˥˥/ /tu˨˩˦/ /i˨˩˦/","Left on base","xi shoe e","Bag cow in","Shah neck water","Residues of","Side chairs"
"JA","点眼器","点眼器:点眼器","/teɴ.ɡaŋ.ki/","te gang key","/teɪ/ /ɡæŋ/ /ki/","Tang Gang Kuh","/taŋ/ /ɡaŋ/ /kuː/","thé gare qui","/te/ /ɡaʁ/ /ki/","展 顔 木","/teɴ/ /ɡaɴ/ /ki/","溏 缸 鼓","/taŋ˧˥/ /kaŋ˥˥/ /ku˨˩˦/","Ophthalmic instrument","te gang key","Tang gang cow","the station which","Exhibition face wood","Half congealed cylinder drum"
"JA","現在行番号","現在行番号:現在行番号","/ɡeɴ.za.i.ɡjo.u.baɴ.ɡo.u/","gay za e glue ooh bow goo ooh","/ɡeɪ/ /zɑ/ /i/ /ɡlu/ /u/ /baʊ/ /ɡu/ /u/","Gang sah in große bange Uhr","/ɡaŋ/ /zaː/ /iːn/ /ɡʀoː.sə/ /baŋ.ɡə/ /uːɐ/","gare shah idiot houx barre goût houx","/ɡaʁ/ /za/ /i.ˈdjo/ /u/ /baʁ/ /ɡu/ /u/","元 座 胃 御 兎 万 語 兎","/ɡeɴ/ /za/ /i/ /ɡjo/ /u/ /baɴ/ /ɡo/ /u/","給 筏 椅 國 鵡 盤 茹 鵡","/kei˨˩˦/ /fa˧˥/ /i˨˩˦/ /kuo˧˥/ /u˨˩˦/ /pan˧˥/ /ʐu˧˥/ /u˨˩˦/","Current line number.","gay za e glue ooh bow goo ooh","Gang saw large funky watch","station shah idiot Holly bar taste Holly","Former sitting stomach control 10,000 rabbits, rabbit","Give raft Chair China 鵡 Pan ru 鵡"
"JA","デジタル・オーディオ","デジタル・オーディオ:デジタル・オーディオ","/de.d͡ʑi.ta.ɾu.oː.de.i.o/","day bee tea shoe awe day e awe","/deɪ/ /bi/ /ti/ /ʃu/ /ɔ/ /deɪ/ /i/ /ɔ/","der Vieh Tag Duo Deo Ohr","/deːɐ/ /fiː/ /taːk/ /duː.oː/ /deː.oː/ /oːɐ/","des riz temps cou eau des eau eau","/de/ /ʁi/ /ta/ /ku/ /o/ /de/ /o/ /o/","で 柱 たる Ｏ で 胃 を","/de/ /d͡ʑi/ /ta.ɾu/ /oː/ /de/ /i/ /o/","梯 梯 獺 土 噢 色 椅 噢","/ti˥˥/ /ti˥˥/ /ta˨˩˦/ /tu˨˩˦/ /o˥˥/ /sɤ˥˩/ /i˨˩˦/ /o˥˥/","Digital audio","day bee tea shoe awe day e awe","the livestock day duo Deo ear","by the time rice neck water water water","In column a in O stomach","Escape ladder 獺 Oh chairs Oh"
"JA","刑名","刑名:刑名","/ke.i.me.i/","key e ma e","/ki/ /i/ /mɑ/ /i/","Kuh in Meer","/kuː/ /iːn/ /meː.ɐ/","quand riz mer hein","/ka/ /ʁi/ /me/ /ɛ/","毛 胃 目 胃","/ke/ /i/ /me/ /i/","閣 椅 媽 椅","/kɤ˧˥/ /i˨˩˦/ /ma˥˥/ /i˨˩˦/","Punishments","key e ma e","Cow in sea","When rice sea eh","Hair stomach first stomach","媽 閣 Chair chairs"
"JA","祖師西来","祖師西来:祖師西来","/so.ʃi.se.i.ɾa.i/","sea she sea e tea e","/si/ /ʃi/ /si/ /i/ /ti/ /i/","Ski Schuh weh in da in","/skiː/ /ʃuː/ /veː/ /iːn/ /daː/ /iːn/","seau chien cent et riz temps hein","/so/ /ʃi/ /s/ /e/ /ʁi/ /ta/ /ɛ/","ソ 死 背 胃 ラ 胃","/so/ /ʃi/ /se/ /i/ /ɾa/ /i/","蒐 膝 色 椅 獺 椅","/sou˥˥/ /ɕi˥˥/ /sɤ˥˩/ /i˨˩˦/ /ta˨˩˦/ /i˨˩˦/","Soshigaya seoraeseom","sea she sea e tea e","Ski shoes hurt in there in","dog bucket cent and rice time eh","Soviet death tall stomach la stomach","Acquisition of knee Chair 獺 Chair"
"JA","蔓性植物","蔓性植物:蔓性植物","/maɴ.se.i.ʃo.ku.bu.t͡su/","my sea e shoe coo boo shoe","/maɪ/ /si/ /i/ /ʃu/ /ku/ /bu/ /ʃu/","Mann weh in Schuh Kuh Buch zu","/man/ /veː/ /iːn/ /ʃuː/ /kuː/ /buːx/ /t͡suː/","mars cent et riz chaud cou boue chou","/maʁ/ /s/ /e/ /ʁi/ /ʃo/ /ku/ /bu/ /ʃu/","マン 背 胃 所 区 分 唾","/maɴ/ /se/ /i/ /ʃo/ /ku/ /bu/ /t͡su/","盲 色 椅 菠 鼓 蹼 酥","/maŋ˧˥/ /sɤ˥˩/ /i˨˩˦/ /po˥˥/ /ku˨˩˦/ /pu˨˩˦/ /su˥˥/","Vine plants","my sea e shoe coo boo shoe","Man in shoe cow book woe to","March percent and rice hot neck cabbage mud","Fingering tall stomach Institute Division saliva","Color blind Chair keep crisp drum paddle"
"JA","カウンターブロウ","カウンターブロウ:カウンターブロウ","/ka.un.taː.bu.ɾo.u/","key moon tea boo toe ooh","/ki/ /mun/ /ti/ /bu/ /toʊ/ /u/","Kuh un tabu wo Schuh","/kuː/ /uːn/ /taː.buː/ /voː/ /ʃuː/","quand une temps boue ton houx","/ka/ /yn/ /ta/ /bu/ /to/ /u/","蚊 運 田 分 炉 兎","/ka/ /uɴ/ /ta/ /bu/ /ɾo/ /u/","卡 雲 獺 蹼 菠 鵡","/ka˨˩˦/ /yn˧˥/ /ta˨˩˦/ /pu˨˩˦/ /po˥˥/ /u˨˩˦/","Counter blow","key moon tea boo toe ooh","Cow un taboo where shoe","When a time mud your Holly","Mosquito luck Machida-furnace rabbit","A surname 獺 webs keep 鵡"
"JA","爬虫類","爬虫類:爬虫類","/ha.t͡ɕu.u.ɾu.i/","high shoe ooh shoe e","/haɪ/ /ʃu/ /u/ /ʃu/ /i/","Hang Schuh Schuh Kuh in","/haŋ/ /ʃuː/ /ʃuː/ /kuː/ /iːn/","chat chou houx cou hein","/ʃa/ /ʃu/ /u/ /ku/ /ɛ/","歯 チュー 兎 類","/ha/ /t͡ɕuː/ /u/ /ɾu.i/","哈 土 鵡 土 椅","/xa˥˥/ /tu˨˩˦/ /u˨˩˦/ /tu˨˩˦/ /i˨˩˦/","Reptiles","high shoe ooh shoe e","Shoe shoe cow hang in","Cat cabbage Holly neck eh","Chu rabbit rodent","鵡 Chair"
"JA","悲しい出来事","悲しい出来事:悲しい出来事","/ka.na.ʃi.i.de.ki.ɡo.to/","key knee she e day key goo toe","/ki/ /ni/ /ʃi/ /i/ /deɪ/ /ki/ /ɡu/ /toʊ/","Kuh nah Schuh in der Kuh Getto","/kuː/ /naː/ /ʃuː/ /iːn/ /deːɐ/ /kuː/ /ɡɛ.toː/","quand nid chien idée qui goût ton","/ka/ /ni/ /ʃi/ /i.ˈde/ /ki/ /ɡu/ /to/","蚊 七 死 胃 で 木 語 と","/ka/ /na/ /ʃi/ /i/ /de/ /ki/ /ɡo/ /to/","卡 拿 膝 椅 悲 鎧 菠 土","/ka˨˩˦/ /na˧˥/ /ɕi˥˥/ /i˨˩˦/ /pei˥˥/ /kai˨˩˦/ /po˥˥/ /tu˨˩˦/","Sad affair","key knee she e day key goo toe","Cow close in the cow shoe ghetto","When nest dog idea that taste tone","Mosquitoes seven death stomach with wooden language","Knee Chair sad 鎧 keep"
"JA","学生自治会","学生自治会:学生自治会","/ɡa.ku.se.i.d͡ʑi.t͡ɕi.ka.i/","guy coo sea e bee sea key e","/ɡaɪ/ /ku/ /si/ /i/ /bi/ /si/ /ki/ /i/","Gang Kuh weh in Vieh Vieh Kuh in","/ɡaŋ/ /kuː/ /veː/ /iːn/ /fiː/ /fiː/ /kuː/ /iːn/","gant cou cent et iris chien quand riz","/ɡa/ /ku/ /s/ /e/ /i.ˈʁi/ /ʃi/ /ka/ /ʁi/","が 区 背 胃 柱 乳 蚊 胃","/ɡa/ /ku/ /se/ /i/ /d͡ʑi/ /t͡ɕi/ /ka/ /i/","卡 鼓 色 椅 梯 梯 卡 椅","/ka˨˩˦/ /ku˨˩˦/ /sɤ˥˩/ /i˨˩˦/ /ti˥˥/ /ti˥˥/ /ka˨˩˦/ /i˨˩˦/","Student Government Association","guy coo sea e bee sea key e","Course cow woe in cattle cattle cow in","glove neck cent and dog when iris rice","-Tall stomach pillar tits mosquito stomach","The drum chair ladder ladder Chair"
"JA","系列化","系列化:系列化","/ke.i.ɾe.t͡su.ka/","key e tea shoe key","/ki/ /i/ /ti/ /ʃu/ /ki/","Kuh in weh zu Kuh","/kuː/ /iːn/ /veː/ /t͡suː/ /kuː/","quand idée chou quand","/ka/ /i.ˈde/ /ʃu/ /ka/","毛 胃 レ 唾 蚊","/ke/ /i/ /ɾe/ /t͡su/ /ka/","閣 椅 梯 酥 卡","/kɤ˧˥/ /i˨˩˦/ /ti˥˥/ /su˥˥/ /ka˨˩˦/","Series of","key e tea shoe key","Cow in hurt to cow","When cabbage when idea","Hair stomach Les saliva mosquitoes","閣 Chair ladder crisp cards"
"JA","習得","習得:習得","/ʃu.u.to.ku/","shoe ooh toe coo","/ʃu/ /u/ /toʊ/ /ku/","Schuh Schuh Tod Kuh","/ʃuː/ /ʃuː/ /toːt/ /kuː/","chou houx ton cou","/ʃu/ /u/ /to/ /ku/","週 得","/ʃu.u/ /to.ku/","狐 鵡 土 鼓","/xu˧˥/ /u˨˩˦/ /tu˨˩˦/ /ku˨˩˦/","Acquisition","shoe ooh toe coo","Shoe shoe death cow","cabbage Holly your neck","Great weekly rates","Fox 鵡 clay drum"
"JA","カラープランニング","カラープランニング:カラープランニング","/ka.ɾaː.pu.ɾan.niɴ.ɡu/","key tea poo town knee goo","/ki/ /ti/ /pu/ /taʊn/ /ni/ /ɡu/","Kappa Kuh Zahn nie Kuh","/ka.paː/ /kuː/ /t͡saːn/ /niː/ /kuː/","quand temps pou panne nid goût","/ka/ /ta/ /pu/ /pan/ /ni/ /ɡu/","蚊 ラ プラン 任 具","/ka/ /ɾa/ /pu.ɾaɴ/ /niɴ/ /ɡu/","卡 獺 蹼 潭 檸 鼓","/ka˨˩˦/ /ta˨˩˦/ /pu˨˩˦/ /tan˧˥/ /niŋ˧˥/ /ku˨˩˦/","Color planning","key tea poo town knee goo","Kappa cow teeth never cow","When time pou failure nest taste","Mosquito la plan any fixture","檸 card 獺 webbed TAM drum"
"JA","データベース管理者","データベース管理者:データベース管理者","/deː.ta.beː.su.kaɴ.ɾi.ʃa/","dah tea bee sue cow tea shoe","/dɑ/ /ti/ /bi/ /su/ /kaʊ/ /ti/ /ʃu/","der Tag Bär Schuh Kahn Vieh Schah","/deːɐ/ /taːk/ /beːɐ/ /ʃuː/ /kaːn/ /fiː/ /ʃaː/","des temps Boer sous canne pis chat","/de/ /ta/ /be/ /su/ /kan/ /pi/ /ʃa/","データ 部 酢 巻 里 舎","/deː.ta/ /be/ /su/ /kaɴ/ /ɾi/ /ʃa/","梯 獺 悲 酥 缸 梯 哈","/ti˥˥/ /ta˨˩˦/ /pei˥˥/ /su˥˥/ /kaŋ˥˥/ /ti˥˥/ /xa˥˥/","Database administrator","dah tea bee sue cow tea shoe","the day bear shoe Kahn cattle Shah","the long Boer under cane pis chat","Data of vinegar winding Village Hall","Sorrowful crisp cylinders of ladder 獺 ladder"
